latitude,longitude,line_number,WARD,PRECINCT
41.7959144,-87.7093742,2747,14.0,15.0
41.8704242,-87.7357121,2760,24.0,19.0
41.9384225,-87.6402879,2761,44.0,17.0
41.855148,-87.6796103,2767,25.0,30.0
41.8923909,-87.6549967,2776,27.0,40.0
41.7640428,-87.7086049,2778,17.0,1.0
41.7014165,-87.6272826,2780,34.0,4.0
41.7963442,-87.7064428,2785,14.0,15.0
41.9558194,-87.7170065,2792,35.0,23.0
41.7997456,-87.7058301,2795,14.0,6.0
41.956181,-87.7760177,2796,38.0,33.0
41.8529088,-87.6707974,2797,25.0,13.0
41.7484126,-87.6552527,2802,21.0,28.0
41.9514073,-87.6632742,2808,44.0,25.0
41.7042172,-87.6339899,2813,34.0,24.0
41.9447841,-87.6435862,2821,44.0,22.0
41.9895669,-87.6972948,2824,40.0,10.0
41.9824739,-87.6999641,2829,40.0,30.0
42.0055695,-87.8093277,2830,41.0,10.0
41.7098244,-87.6887861,2834,19.0,45.0
41.9410881,-87.7244516,2842,30.0,8.0
41.9784874,-87.7886872,2843,45.0,46.0
41.9315232,-87.6510459,2847,43.0,46.0
42.0098194,-87.7841803,2855,41.0,39.0
41.8683446,-87.7733589,2857,29.0,22.0
41.7796406,-87.6032389,2863,20.0,5.0
41.7312095,-87.6419197,2872,21.0,12.0
41.9177346,-87.7954146,2876,29.0,30.0
41.7746644,-87.7623789,2886,13.0,26.0
41.6705744,-87.6572103,2891,34.0,51.0
41.9180928,-87.6468347,2895,43.0,3.0
41.9230748,-87.7144349,2896,35.0,7.0
41.7428077,-87.5907449,2897,8.0,37.0
41.9686477,-87.7509377,2905,45.0,30.0
41.9262234,-87.7570343,2907,31.0,32.0
41.7630267,-87.5914908,2913,8.0,1.0
41.791575,-87.7814292,2918,13.0,48.0
41.9992079,-87.6920192,2923,50.0,19.0
